frame.time_epoch,mavlink_proto.msgid,mavlink_proto.SYS_STATUS_voltage_battery,mavlink_proto.SYS_STATUS_battery_remaining,mavlink_proto.BATTERY_STATUS_battery_remaining
"1762975802.888021372","147",,,"44"
"1762975802.898486900","1","11212","44",
"1762975803.500402878","147",,,"30"
"1762975803.507941628","1","2779","-26",
"1762975829.606184269","147",,,"43"
"1762975829.616028378","1","11209","43",
"1762975830.216733679","147",,,"-92"
"1762975830.226350255","1","46262","-52",
"1762975859.719520934","147",,,"43"
"1762975859.729480067","1","11200","43",
"1762975860.330138542","147",,,"41"
"1762975860.339195575","1","49094","-95",
"1762975891.657440866","147",,,"-124"
"1762975891.667251034","1","31892","63",
"1762975919.622719640","147",,,"42"
"1762975919.634775944","1","11197","42",
"1762975920.234165578","147",,,"118"
"1762975920.243194397","1","26995","-24",
"1762975939.001631904","147",,,"90"
"1762975939.005829388","1","47896","-32",
"1762975979.210026713","147",,,"42"
"1762975979.226647432","1","11193","42",
"1762975979.816907151","147",,,"33"
"1762975979.827101221","1","37553","-116",
"1762976005.940402154","147",,,"118"
"1762976005.942132674","1","41852","-102",
"1762976031.742787368","147",,,"41"
"1762976031.750425221","1","11188","41",
"1762976032.350243360","147",,,"126"
"1762976032.359750292","1","1481","-60",
"1762976053.654732760","147",,,"41"
"1762976053.663488023","1","11183","41",
"1762976054.263470916","147",,,"-6"
"1762976054.273380605","1","61934","7",
"1762976082.327112722","147",,,"41"
"1762976082.341592202","1","11183","41",
"1762976082.942421540","147",,,"60"
"1762976082.950862532","1","6245","63",
"1762976111.103298031","147",,,"41"
"1762976111.109765885","1","11180","41",
"1762976111.709585018","147",,,"4"
"1762976111.719704151","1","8232","22",
"1762976131.985920686","147",,,"94"
"1762976131.995754670","1","25288","90",
