frame.time_epoch,udp.srcport,udp.dstport,mavlink_proto.msgid,mavlink_proto.SYS_STATUS_voltage_battery,mavlink_proto.SYS_STATUS_current_battery,mavlink_proto.SYS_STATUS_battery_remaining,mavlink_proto.BATTERY_STATUS_battery_remaining,mavlink_proto.BATTERY_STATUS_current_battery
1762975802.888021372,54809,14550,147,,,,44,0
1762975802.898486900,54809,14550,1,11212,0,44,,
1762975803.500402878,54809,14550,147,,,,30,-994
1762975803.507941628,54809,14550,1,2779,-26632,-26,,
1762975829.606184269,47376,14550,147,,,,43,0
1762975829.616028378,47376,14550,1,11209,0,43,,
1762975830.216733679,47376,14550,147,,,,-92,-32473
1762975830.226350255,47376,14550,1,46262,1144,-52,,
1762975859.719520934,54539,14550,147,,,,43,0
1762975859.729480067,54539,14550,1,11200,0,43,,
1762975860.330138542,54539,14550,147,,,,41,17559
1762975860.339195575,54539,14550,1,49094,-14130,-95,,
1762975891.657440866,36703,14550,147,,,,-124,-11419
1762975891.667251034,36703,14550,1,31892,-24545,63,,
1762975919.622719640,34948,14550,147,,,,42,0
1762975919.634775944,34948,14550,1,11197,0,42,,
1762975920.234165578,34948,14550,147,,,,118,-25615
1762975920.243194397,34948,14550,1,26995,2715,-24,,
1762975939.001631904,46985,14550,147,,,,90,23790
1762975939.005829388,46985,14550,1,47896,26570,-32,,
1762975979.210026713,46624,14550,147,,,,42,0
1762975979.226647432,46624,14550,1,11193,0,42,,
1762975979.816907151,46624,14550,147,,,,33,23269
1762975979.827101221,46624,14550,1,37553,29813,-116,,
1762976005.940402154,49878,14550,147,,,,118,21338
1762976005.942132674,49878,14550,1,41852,4037,-102,,
1762976031.742787368,56452,14550,147,,,,41,0
1762976031.750425221,56452,14550,1,11188,0,41,,
1762976032.350243360,56452,14550,147,,,,126,21532
1762976032.359750292,56452,14550,1,1481,-29355,-60,,
1762976053.654732760,55009,14550,147,,,,41,0
1762976053.663488023,55009,14550,1,11183,0,41,,
1762976054.263470916,55009,14550,147,,,,-6,7049
1762976054.273380605,55009,14550,1,61934,25464,7,,
1762976082.327112722,53480,14550,147,,,,41,0
1762976082.341592202,53480,14550,1,11183,0,41,,
1762976082.942421540,53480,14550,147,,,,60,-30161
1762976082.950862532,53480,14550,1,6245,8881,63,,
1762976111.103298031,57475,14550,147,,,,41,0
1762976111.109765885,57475,14550,1,11180,0,41,,
1762976111.709585018,57475,14550,147,,,,4,-5635
1762976111.719704151,57475,14550,1,8232,14887,22,,
1762976131.985920686,57800,14550,147,,,,94,21209
1762976131.995754670,57800,14550,1,25288,-32405,90,,
